fueltype,aspiration,carbody,drivewheel,enginelocation,wheelbase,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,citympg,highwaympg,price,Brand
gas,std,hatchback,fwd,front,93.7,1876,ohc,four,90,2bbl,68,31,38,6377.0,dodge
gas,turbo,hatchback,fwd,front,93.7,2128,ohc,four,98,mpfi,102,24,30,7957.0,dodge
gas,std,hatchback,fwd,front,93.7,1967,ohc,four,90,2bbl,68,31,38,6229.0,dodge
gas,std,sedan,fwd,front,93.7,1989,ohc,four,90,2bbl,68,31,38,6692.0,dodge
gas,std,sedan,fwd,front,93.7,1989,ohc,four,90,2bbl,68,31,38,7609.0,dodge
gas,turbo,sedan,fwd,front,93.7,2191,ohc,four,98,mpfi,102,24,30,8558.0,dodge
gas,std,wagon,fwd,front,103.3,2535,ohc,four,122,2bbl,88,24,30,8921.0,dodge
gas,turbo,hatchback,fwd,front,95.9,2811,ohc,four,156,mfi,145,19,24,12964.0,dodge
gas,std,hatchback,fwd,front,86.6,1713,ohc,four,92,1bbl,58,49,54,6479.0,honda
gas,std,hatchback,fwd,front,86.6,1819,ohc,four,92,1bbl,76,31,38,6855.0,honda
gas,std,hatchback,fwd,front,93.7,1837,ohc,four,79,1bbl,60,38,42,5399.0,honda
gas,std,hatchback,fwd,front,93.7,1940,ohc,four,92,1bbl,76,30,34,6529.0,honda
gas,std,hatchback,fwd,front,93.7,1956,ohc,four,92,1bbl,76,30,34,7129.0,honda
gas,std,sedan,fwd,front,96.5,2010,ohc,four,92,1bbl,76,30,34,7295.0,honda
gas,std,wagon,fwd,front,96.5,2024,ohc,four,92,1bbl,76,30,34,7295.0,honda
gas,std,hatchback,fwd,front,96.5,2236,ohc,four,110,1bbl,86,27,33,7895.0,honda
gas,std,hatchback,fwd,front,96.5,2289,ohc,four,110,1bbl,86,27,33,9095.0,honda
gas,std,sedan,fwd,front,96.5,2304,ohc,four,110,1bbl,86,27,33,8845.0,honda
gas,std,sedan,fwd,front,96.5,2372,ohc,four,110,1bbl,86,27,33,10295.0,honda
gas,std,sedan,fwd,front,96.5,2465,ohc,four,110,mpfi,101,24,28,12945.0,honda
gas,std,sedan,fwd,front,96.5,2293,ohc,four,110,2bbl,100,25,31,10345.0,honda
gas,std,sedan,rwd,front,94.3,2337,ohc,four,111,2bbl,78,24,29,6785.0,isuzu
gas,std,sedan,fwd,front,94.5,1874,ohc,four,90,2bbl,70,38,43,8916.5,isuzu
gas,std,sedan,fwd,front,94.5,1909,ohc,four,90,2bbl,70,38,43,8916.5,isuzu
gas,std,hatchback,rwd,front,96.0,2734,ohc,four,119,spfi,90,24,29,11048.0,isuzu
gas,std,sedan,rwd,front,113.0,4066,dohc,six,258,mpfi,176,15,19,32250.0,jaguar
gas,std,sedan,rwd,front,113.0,4066,dohc,six,258,mpfi,176,15,19,35550.0,jaguar
gas,std,sedan,rwd,front,102.0,3950,ohc,twelve,326,mpfi,262,13,17,36000.0,jaguar
gas,std,hatchback,fwd,front,93.1,1890,ohc,four,91,2bbl,68,30,31,5195.0,mazda
gas,std,hatchback,fwd,front,93.1,1900,ohc,four,91,2bbl,68,31,38,6095.0,mazda
gas,std,hatchback,fwd,front,93.1,1905,ohc,four,91,2bbl,68,31,38,6795.0,mazda
gas,std,sedan,fwd,front,93.1,1945,ohc,four,91,2bbl,68,31,38,6695.0,mazda
gas,std,sedan,fwd,front,93.1,1950,ohc,four,91,2bbl,68,31,38,7395.0,mazda
gas,std,hatchback,rwd,front,95.3,2380,rotor,two,70,4bbl,101,17,23,10945.0,mazda
gas,std,hatchback,rwd,front,95.3,2380,rotor,two,70,4bbl,101,17,23,11845.0,mazda
gas,std,hatchback,rwd,front,95.3,2385,rotor,two,70,4bbl,101,17,23,13645.0,mazda
gas,std,hatchback,rwd,front,95.3,2500,rotor,two,80,mpfi,135,16,23,15645.0,mazda
gas,std,hatchback,fwd,front,98.8,2385,ohc,four,122,2bbl,84,26,32,8845.0,mazda
gas,std,sedan,fwd,front,98.8,2410,ohc,four,122,2bbl,84,26,32,8495.0,mazda
gas,std,hatchback,fwd,front,98.8,2385,ohc,four,122,2bbl,84,26,32,10595.0,mazda
gas,std,sedan,fwd,front,98.8,2410,ohc,four,122,2bbl,84,26,32,10245.0,mazda
diesel,std,sedan,fwd,front,98.8,2443,ohc,four,122,idi,64,36,42,10795.0,mazda
gas,std,hatchback,fwd,front,98.8,2425,ohc,four,122,2bbl,84,26,32,11245.0,mazda
gas,std,sedan,rwd,front,104.9,2670,ohc,four,140,mpfi,120,19,27,18280.0,mazda
diesel,std,sedan,rwd,front,104.9,2700,ohc,four,134,idi,72,31,39,18344.0,mazda
diesel,turbo,sedan,rwd,front,110.0,3515,ohc,five,183,idi,123,22,25,25552.0,buick
diesel,turbo,wagon,rwd,front,110.0,3750,ohc,five,183,idi,123,22,25,28248.0,buick
diesel,turbo,hardtop,rwd,front,106.7,3495,ohc,five,183,idi,123,22,25,28176.0,buick
diesel,turbo,sedan,rwd,front,115.6,3770,ohc,five,183,idi,123,22,25,31600.0,buick
gas,std,sedan,rwd,front,115.6,3740,ohc,eight,234,mpfi,155,16,18,34184.0,buick
gas,std,convertible,rwd,front,96.6,3685,ohc,eight,234,mpfi,155,16,18,35056.0,buick
gas,std,sedan,rwd,front,120.9,3900,ohc,eight,308,mpfi,184,14,16,40960.0,buick
gas,std,hardtop,rwd,front,112.0,3715,ohc,eight,304,mpfi,184,14,16,45400.0,buick
gas,turbo,hatchback,rwd,front,102.7,2910,ohc,four,140,mpfi,175,19,24,16503.0,mercury
gas,std,hatchback,fwd,front,93.7,1918,ohc,four,92,2bbl,68,37,41,5389.0,mitsubishi
gas,std,hatchback,fwd,front,93.7,1944,ohc,four,92,2bbl,68,31,38,6189.0,mitsubishi
gas,std,hatchback,fwd,front,93.7,2004,ohc,four,92,2bbl,68,31,38,6669.0,mitsubishi
gas,turbo,hatchback,fwd,front,93.0,2145,ohc,four,98,spdi,102,24,30,7689.0,mitsubishi
gas,turbo,hatchback,fwd,front,96.3,2370,ohc,four,110,spdi,116,23,30,9959.0,mitsubishi
gas,std,hatchback,fwd,front,96.3,2328,ohc,four,122,2bbl,88,25,32,8499.0,mitsubishi
gas,turbo,hatchback,fwd,front,95.9,2833,ohc,four,156,spdi,145,19,24,12629.0,mitsubishi
gas,turbo,hatchback,fwd,front,95.9,2921,ohc,four,156,spdi,145,19,24,14869.0,mitsubishi
gas,turbo,hatchback,fwd,front,95.9,2926,ohc,four,156,spdi,145,19,24,14489.0,mitsubishi
gas,std,sedan,fwd,front,96.3,2365,ohc,four,122,2bbl,88,25,32,6989.0,mitsubishi
gas,std,sedan,fwd,front,96.3,2405,ohc,four,122,2bbl,88,25,32,8189.0,mitsubishi
gas,turbo,sedan,fwd,front,96.3,2403,ohc,four,110,spdi,116,23,30,9279.0,mitsubishi
gas,std,sedan,fwd,front,96.3,2403,ohc,four,110,spdi,116,23,30,9279.0,mitsubishi
gas,std,sedan,fwd,front,94.5,1889,ohc,four,97,2bbl,69,31,37,5499.0,nissan
diesel,std,sedan,fwd,front,94.5,2017,ohc,four,103,idi,55,45,50,7099.0,nissan
gas,std,sedan,fwd,front,94.5,1918,ohc,four,97,2bbl,69,31,37,6649.0,nissan
gas,std,sedan,fwd,front,94.5,1938,ohc,four,97,2bbl,69,31,37,6849.0,nissan
gas,std,wagon,fwd,front,94.5,2024,ohc,four,97,2bbl,69,31,37,7349.0,nissan
gas,std,sedan,fwd,front,94.5,1951,ohc,four,97,2bbl,69,31,37,7299.0,nissan
gas,std,hatchback,fwd,front,94.5,2028,ohc,four,97,2bbl,69,31,37,7799.0,nissan
gas,std,sedan,fwd,front,94.5,1971,ohc,four,97,2bbl,69,31,37,7499.0,nissan
gas,std,wagon,fwd,front,94.5,2037,ohc,four,97,2bbl,69,31,37,7999.0,nissan
gas,std,hardtop,fwd,front,95.1,2008,ohc,four,97,2bbl,69,31,37,8249.0,nissan
gas,std,hatchback,fwd,front,97.2,2324,ohc,four,120,2bbl,97,27,34,8949.0,nissan
gas,std,sedan,fwd,front,97.2,2302,ohc,four,120,2bbl,97,27,34,9549.0,nissan
gas,std,sedan,fwd,front,100.4,3095,ohc,six,181,mpfi,152,17,22,13499.0,nissan
gas,std,wagon,fwd,front,100.4,3296,ohc,six,181,mpfi,152,17,22,14399.0,nissan
gas,std,sedan,fwd,front,100.4,3060,ohc,six,181,mpfi,152,19,25,13499.0,nissan
gas,std,hatchback,rwd,front,91.3,3071,ohc,six,181,mpfi,160,19,25,17199.0,nissan
gas,turbo,hatchback,rwd,front,91.3,3139,ohc,six,181,mpfi,200,17,23,19699.0,nissan
gas,std,hatchback,rwd,front,99.2,3139,ohc,six,181,mpfi,160,19,25,18399.0,nissan
gas,std,sedan,rwd,front,107.9,3020,l,four,120,mpfi,97,19,24,11900.0,peugeot
diesel,turbo,sedan,rwd,front,107.9,3197,l,four,152,idi,95,28,33,13200.0,peugeot
gas,std,wagon,rwd,front,114.2,3230,l,four,120,mpfi,97,19,24,12440.0,peugeot
diesel,turbo,wagon,rwd,front,114.2,3430,l,four,152,idi,95,25,25,13860.0,peugeot
gas,std,sedan,rwd,front,107.9,3075,l,four,120,mpfi,95,19,24,15580.0,peugeot
diesel,turbo,sedan,rwd,front,107.9,3252,l,four,152,idi,95,28,33,16900.0,peugeot
gas,std,wagon,rwd,front,114.2,3285,l,four,120,mpfi,95,19,24,16695.0,peugeot
diesel,turbo,wagon,rwd,front,114.2,3485,l,four,152,idi,95,25,25,17075.0,peugeot
gas,std,sedan,rwd,front,107.9,3075,l,four,120,mpfi,97,19,24,16630.0,peugeot
diesel,turbo,sedan,rwd,front,107.9,3252,l,four,152,idi,95,28,33,17950.0,peugeot
gas,turbo,sedan,rwd,front,108.0,3130,l,four,134,mpfi,142,18,24,18150.0,peugeot
gas,std,hatchback,fwd,front,93.7,1918,ohc,four,90,2bbl,68,37,41,5572.0,plymouth
gas,turbo,hatchback,fwd,front,93.7,2128,ohc,four,98,spdi,102,24,30,7957.0,plymouth
gas,std,hatchback,fwd,front,93.7,1967,ohc,four,90,2bbl,68,31,38,6229.0,plymouth
gas,std,sedan,fwd,front,93.7,1989,ohc,four,90,2bbl,68,31,38,6692.0,plymouth
gas,std,sedan,fwd,front,93.7,2191,ohc,four,98,2bbl,68,31,38,7609.0,plymouth
gas,std,wagon,fwd,front,103.3,2535,ohc,four,122,2bbl,88,24,30,8921.0,plymouth
gas,turbo,hatchback,rwd,front,95.9,2818,ohc,four,156,spdi,145,19,24,12764.0,plymouth
gas,std,hatchback,rwd,front,94.5,2778,ohc,four,151,mpfi,143,19,27,22018.0,porsche
gas,std,hardtop,rwd,rear,89.5,2756,ohc,six,194,mpfi,207,17,25,32528.0,porsche
gas,std,hardtop,rwd,rear,89.5,2756,ohc,six,194,mpfi,207,17,25,34028.0,porsche
gas,std,convertible,rwd,rear,89.5,2800,ohc,six,194,mpfi,207,17,25,37028.0,porsche
gas,std,hatchback,rwd,front,98.4,3366,dohc,eight,203,mpfi,288,17,28,31400.5,porsche
gas,std,wagon,fwd,front,96.1,2579,ohc,four,132,mpfi,90,23,31,9295.0,renault
gas,std,hatchback,fwd,front,96.1,2460,ohc,four,132,mpfi,90,23,31,9895.0,renault
gas,std,hatchback,fwd,front,99.1,2658,ohc,four,121,mpfi,110,21,28,11850.0,saab
gas,std,sedan,fwd,front,99.1,2695,ohc,four,121,mpfi,110,21,28,12170.0,saab
gas,std,hatchback,fwd,front,99.1,2707,ohc,four,121,mpfi,110,21,28,15040.0,saab
gas,std,sedan,fwd,front,99.1,2758,ohc,four,121,mpfi,110,21,28,15510.0,saab
gas,turbo,hatchback,fwd,front,99.1,2808,dohc,four,121,mpfi,160,19,26,18150.0,saab
gas,turbo,sedan,fwd,front,99.1,2847,dohc,four,121,mpfi,160,19,26,18620.0,saab
gas,std,hatchback,fwd,front,93.7,2050,ohc,four,97,2bbl,69,31,36,5118.0,subaru
gas,std,hatchback,fwd,front,93.7,2120,ohc,four,108,2bbl,73,26,31,7053.0,subaru
gas,std,hatchback,4wd,front,93.3,2240,ohc,four,108,2bbl,73,26,31,7603.0,subaru
gas,std,sedan,fwd,front,97.2,2145,ohc,four,108,2bbl,82,32,37,7126.0,subaru
gas,std,sedan,fwd,front,97.2,2190,ohc,four,108,2bbl,82,28,33,7775.0,subaru
gas,std,sedan,fwd,front,97.2,2340,ohc,four,108,mpfi,94,26,32,9960.0,subaru
gas,std,sedan,4wd,front,97.0,2385,ohc,four,108,2bbl,82,24,25,9233.0,subaru
gas,turbo,sedan,4wd,front,97.0,2510,ohc,four,108,mpfi,111,24,29,11259.0,subaru
gas,std,wagon,fwd,front,97.0,2290,ohc,four,108,2bbl,82,28,32,7463.0,subaru
gas,std,wagon,fwd,front,97.0,2455,ohc,four,108,mpfi,94,25,31,10198.0,subaru
gas,std,wagon,4wd,front,96.9,2420,ohc,four,108,2bbl,82,23,29,8013.0,subaru
gas,turbo,wagon,4wd,front,96.9,2650,ohc,four,108,mpfi,111,23,23,11694.0,subaru
gas,std,hatchback,fwd,front,95.7,1985,ohc,four,92,2bbl,62,35,39,5348.0,toyota
gas,std,hatchback,fwd,front,95.7,2040,ohc,four,92,2bbl,62,31,38,6338.0,toyota
gas,std,hatchback,fwd,front,95.7,2015,ohc,four,92,2bbl,62,31,38,6488.0,toyota
gas,std,wagon,fwd,front,95.7,2280,ohc,four,92,2bbl,62,31,37,6918.0,toyota
gas,std,wagon,4wd,front,95.7,2290,ohc,four,92,2bbl,62,27,32,7898.0,toyota
gas,std,wagon,4wd,front,95.7,3110,ohc,four,92,2bbl,62,27,32,8778.0,toyota
gas,std,sedan,fwd,front,95.7,2081,ohc,four,98,2bbl,70,30,37,6938.0,toyota
gas,std,hatchback,fwd,front,95.7,2109,ohc,four,98,2bbl,70,30,37,7198.0,toyota
diesel,std,sedan,fwd,front,95.7,2275,ohc,four,110,idi,56,34,36,7898.0,toyota
diesel,std,hatchback,fwd,front,95.7,2275,ohc,four,110,idi,56,38,47,7788.0,toyota
gas,std,sedan,fwd,front,95.7,2094,ohc,four,98,2bbl,70,38,47,7738.0,toyota
gas,std,hatchback,fwd,front,95.7,2122,ohc,four,98,2bbl,70,28,34,8358.0,toyota
gas,std,sedan,fwd,front,95.7,2140,ohc,four,98,2bbl,70,28,34,9258.0,toyota
gas,std,sedan,rwd,front,94.5,2169,ohc,four,98,2bbl,70,29,34,8058.0,toyota
gas,std,hatchback,rwd,front,94.5,2204,ohc,four,98,2bbl,70,29,34,8238.0,toyota
gas,std,sedan,rwd,front,94.5,2265,dohc,four,98,mpfi,112,26,29,9298.0,toyota
gas,std,hatchback,rwd,front,94.5,2300,dohc,four,98,mpfi,112,26,29,9538.0,toyota
gas,std,hardtop,rwd,front,98.4,2540,ohc,four,146,mpfi,116,24,30,8449.0,toyota
gas,std,hardtop,rwd,front,98.4,2536,ohc,four,146,mpfi,116,24,30,9639.0,toyota
gas,std,hatchback,rwd,front,98.4,2551,ohc,four,146,mpfi,116,24,30,9989.0,toyota
gas,std,hardtop,rwd,front,98.4,2679,ohc,four,146,mpfi,116,24,30,11199.0,toyota
gas,std,hatchback,rwd,front,98.4,2714,ohc,four,146,mpfi,116,24,30,11549.0,toyota
gas,std,convertible,rwd,front,98.4,2975,ohc,four,146,mpfi,116,24,30,17669.0,toyota
gas,std,sedan,fwd,front,102.4,2326,ohc,four,122,mpfi,92,29,34,8948.0,toyota
diesel,turbo,sedan,fwd,front,102.4,2480,ohc,four,110,idi,73,30,33,10698.0,toyota
gas,std,hatchback,fwd,front,102.4,2414,ohc,four,122,mpfi,92,27,32,9988.0,toyota
gas,std,sedan,fwd,front,102.4,2414,ohc,four,122,mpfi,92,27,32,10898.0,toyota
gas,std,hatchback,fwd,front,102.4,2458,ohc,four,122,mpfi,92,27,32,11248.0,toyota
gas,std,hatchback,rwd,front,102.9,2976,dohc,six,171,mpfi,161,20,24,16558.0,toyota
gas,std,hatchback,rwd,front,102.9,3016,dohc,six,171,mpfi,161,19,24,15998.0,toyota
gas,std,sedan,rwd,front,104.5,3131,dohc,six,171,mpfi,156,20,24,15690.0,toyota
gas,std,wagon,rwd,front,104.5,3151,dohc,six,161,mpfi,156,19,24,15750.0,toyota
diesel,std,sedan,fwd,front,97.3,2261,ohc,four,97,idi,52,37,46,7775.0,volkswagen
gas,std,sedan,fwd,front,97.3,2209,ohc,four,109,mpfi,85,27,34,7975.0,volkswagen
diesel,std,sedan,fwd,front,97.3,2264,ohc,four,97,idi,52,37,46,7995.0,volkswagen
gas,std,sedan,fwd,front,97.3,2212,ohc,four,109,mpfi,85,27,34,8195.0,volkswagen
gas,std,sedan,fwd,front,97.3,2275,ohc,four,109,mpfi,85,27,34,8495.0,volkswagen
diesel,turbo,sedan,fwd,front,97.3,2319,ohc,four,97,idi,68,37,42,9495.0,volkswagen
gas,std,sedan,fwd,front,97.3,2300,ohc,four,109,mpfi,100,26,32,9995.0,volkswagen
gas,std,convertible,fwd,front,94.5,2254,ohc,four,109,mpfi,90,24,29,11595.0,volkswagen
gas,std,hatchback,fwd,front,94.5,2221,ohc,four,109,mpfi,90,24,29,9980.0,volkswagen
gas,std,sedan,fwd,front,100.4,2661,ohc,five,136,mpfi,110,19,24,13295.0,volkswagen
diesel,turbo,sedan,fwd,front,100.4,2579,ohc,four,97,idi,68,33,38,13845.0,volkswagen
gas,std,wagon,fwd,front,100.4,2563,ohc,four,109,mpfi,88,25,31,12290.0,volkswagen
gas,std,sedan,rwd,front,104.3,2912,ohc,four,141,mpfi,114,23,28,12940.0,volvo
gas,std,wagon,rwd,front,104.3,3034,ohc,four,141,mpfi,114,23,28,13415.0,volvo
gas,std,sedan,rwd,front,104.3,2935,ohc,four,141,mpfi,114,24,28,15985.0,volvo
gas,std,wagon,rwd,front,104.3,3042,ohc,four,141,mpfi,114,24,28,16515.0,volvo
gas,turbo,sedan,rwd,front,104.3,3045,ohc,four,130,mpfi,162,17,22,18420.0,volvo
gas,turbo,wagon,rwd,front,104.3,3157,ohc,four,130,mpfi,162,17,22,18950.0,volvo
gas,std,sedan,rwd,front,109.1,2952,ohc,four,141,mpfi,114,23,28,16845.0,volvo
gas,turbo,sedan,rwd,front,109.1,3049,ohc,four,141,mpfi,160,19,25,19045.0,volvo
gas,std,sedan,rwd,front,109.1,3012,ohc,six,173,mpfi,134,18,23,21485.0,volvo
diesel,turbo,sedan,rwd,front,109.1,3217,ohc,six,145,idi,106,26,27,22470.0,volvo
gas,turbo,sedan,rwd,front,109.1,3062,ohc,four,141,mpfi,114,19,25,22625.0,volvo
